,Account,Date,Text,Compound,Positive,Neutral,Negative
31,@BBC,2018-03-15 08:00:04+00:00,🚇 When step-free access on London's Tube... isn't. https://t.co/62SPPru2ZP,0.0,0.0,1.0,0.0
32,@BBC,2018-03-14 21:14:04+00:00,"No coffee after 2pm, no lie-ins and no phones in the bedroom...

One woman followed all the rules to find out what… https://t.co/EoQcnBXGQ4",-0.6808,0.0,0.752,0.248
33,@BBC,2018-03-14 20:00:03+00:00,🛩️ The sky's the limit! https://t.co/eQgP9MDBCj,0.0,0.0,1.0,0.0
34,@BBC,2018-03-14 19:10:00+00:00,"“Remember to look up at the stars and not down at your feet.”

An extraordinary man whose work and legacy will live… https://t.co/iM2vDxd8ET",0.0,0.0,1.0,0.0
35,@BBC,2018-03-14 19:04:03+00:00,Britain's most iconic dog is in crisis. Catherine Tate investigates the serious health problems affecting the Briti… https://t.co/pnTcQIQAi5,-0.7964,0.0,0.649,0.351
36,@BBC,2018-03-14 18:30:00+00:00,"🔊😵 This is trippy. 

#TonesDronesAndArpeggios | Watch on @BBCiPlayer https://t.co/Ylvgi0X3XV",0.0,0.0,1.0,0.0
37,@BBC,2018-03-14 17:30:00+00:00,Would you use a cup made of used chewing gum? https://t.co/3yFsUyeZAc,0.0,0.0,1.0,0.0
38,@BBC,2018-03-14 16:43:32+00:00,RT @BBCR1: Big thanks to #PiDay for giving us an excuse to re-share this video of Tom Hiddleston making it sound sexy 😍 https://t.co/1VZuCI…,0.8402,0.345,0.655,0.0
39,@BBC,2018-03-14 16:20:43+00:00,"RT @BBCTwo: In a change to tonight’s schedule, we’ll now be showing a Horizon special from 1983 looking at Stephen Hawking's extraordinary…",0.4019,0.124,0.876,0.0
40,@BBC,2018-03-14 14:38:04+00:00,"💫☄ From the behaviour of black holes to the origin of the universe, these are the discoveries that made Stephen Haw… https://t.co/Nep1Hu6Onj",0.0,0.0,1.0,0.0
41,@BBC,2018-03-14 13:24:10+00:00,"Broadcaster and comedian Jim Bowen, best known for hosting darts-based game show Bullseye in the 1980s and '90s, ha… https://t.co/4d3xxj5e3X",0.7783,0.274,0.726,0.0
42,@BBC,2018-03-14 13:00:06+00:00,"Pi(π) = the most delicious number in the known universe. 
🥧 #PiDay https://t.co/hjtJByH0XN",0.6779,0.382,0.618,0.0
43,@BBC,2018-03-14 12:49:48+00:00,"RT @BBCR1: 🏔🚴 #Gregathlon is GO! 🚴🏔

@GregJames is getting back on his bike to finish his HUGE challenge for @SportRelief. 

He starts his…",0.561,0.174,0.826,0.0
44,@BBC,2018-03-14 12:17:18+00:00,"RT @bbcgetinspired: 🔴 DANCERS NEEDED! 🔴

Do you know a dancer who would love this? 💃🕺 #TuesdayThoughts #GetInspired @birminghamcg22 #Birmin…",0.6696,0.219,0.781,0.0
45,@BBC,2018-03-14 12:12:32+00:00,RT @BBCFOUR: Ruth Ellis was only 28 when she became the last woman hanged to death in the UK – and it took place disturbingly recently. htt…,-0.802,0.0,0.769,0.231
46,@BBC,2018-03-14 12:03:05+00:00,"📚 The Bard is credited with inventing several hundred English words. 

Test your knowledge of Bard-influenced corpo… https://t.co/V3IfPC0kDm",0.3612,0.135,0.865,0.0
47,@BBC,2018-03-14 11:59:37+00:00,"RT @BBCRadio4: Here is a perfect example of Stephen Hawking's extraordinary ability to make serious science genuinely popular
A 90-second e…",0.8176,0.351,0.598,0.052
48,@BBC,2018-03-14 11:56:23+00:00,"RT @bbcthree: ""Having vitiligo is like having something that nobody else has."" https://t.co/IG2a06mxGV",0.3612,0.172,0.828,0.0
49,@BBC,2018-03-14 11:56:14+00:00,RT @bbcouch: George has autism and other health conditions - but his love of skiing is helping him take on the outside world ⛷❤️ https://t.…,0.8625,0.281,0.719,0.0
50,@BBC,2018-03-14 11:30:12+00:00,"💫 Stephen Hawking: A life in pictures.
📸 👉 https://t.co/0NOtTi7lyD https://t.co/Q1yeTunvnY",0.0,0.0,1.0,0.0
51,@BBC,2018-03-14 10:27:40+00:00,"'You could ask my dad any question.'

In memory of Stephen Hawking, here's an earlier interview with his daughter L… https://t.co/6OQlwLfg2d",0.0,0.0,1.0,0.0
52,@BBC,2018-03-14 10:01:19+00:00,RT @BBCArchive: Stephen Hawking first appeared on the BBC in the 1977 documentary The Key to the Universe: The Search for the Laws of Creat…,0.0,0.0,1.0,0.0
53,@BBC,2018-03-14 09:00:05+00:00,'I was homeless on these streets - I'm the perfect tour guide.' https://t.co/jxirkZzebu,0.5719,0.252,0.748,0.0
54,@BBC,2018-03-14 08:35:41+00:00,"Despite 8 million tonnes of plastic entering UK oceans each year, researchers can only account for where 1% of it e… https://t.co/qHNjcKK9Ap",0.0,0.0,1.0,0.0
55,@BBC,2018-03-14 07:07:28+00:00,Stephen Hawking had once written that he had motor neurone disease for practically all his adult life but said that… https://t.co/6oyYB57iE6,0.0,0.0,1.0,0.0
56,@BBC,2018-03-14 07:03:36+00:00,RT @BBCr4today: This morning: World renowned physicist Stephen Hawking has died at the age of 76. Here he is reading an extract from his 19…,-0.5574,0.0,0.87,0.13
57,@BBC,2018-03-14 06:28:18+00:00,"RT @BBCWorld: A brilliant mind,

wicked sense of humor

and a heart big enough to hold the universe. ⭐🚀

Rest among the stars, Stephen Hawk…",0.3612,0.201,0.683,0.116
58,@BBC,2018-03-14 06:21:50+00:00,"💔 World renowned physicist Stephen Hawking has died at the age of 76.
https://t.co/WxYeUddUJB https://t.co/Sbl0zn1Dma",-0.5574,0.0,0.783,0.217
59,@BBC,2018-03-13 20:00:05+00:00,"Wakanda has Black Panther. 

 Senegal has Sandale-man. https://t.co/T9JnB3pNeq",0.0,0.0,1.0,0.0
60,@BBC,2018-03-13 19:00:05+00:00,⚔ Charis is 19 years old and makes SWORDS for a living! https://t.co/kUUiAjIwNu,0.0,0.0,1.0,0.0
61,@BBC,2018-03-13 18:30:05+00:00,"Microplastics are littering riverbeds across the UK, with hundreds of thousands of plastic particles per square met… https://t.co/cGhDdnQrTm",0.0,0.0,1.0,0.0
62,@BBC,2018-03-13 17:30:06+00:00,❤️💃🏻 Ballet is STILL the love of Joyce's life at 98-years-old! https://t.co/nzr3Jy1wbS,0.6696,0.29,0.71,0.0
63,@BBC,2018-03-13 17:16:46+00:00,"RT @bbcthree: ""No one needs airbags because you've got two"" 

.... and others things not to say to people who've had cosmetic procedures ht…",-0.296,0.0,0.913,0.087
64,@BBC,2018-03-13 17:13:13+00:00,"RT @BBCR1: Now we have a trailer for #FantasticBeasts: The Crimes of Grindelwald, please can we take a moment to discuss Eddie Redmanyne's…",0.3182,0.103,0.897,0.0
65,@BBC,2018-03-13 17:02:28+00:00,"RT @bbcwritersroom: #Networking, a necessary evil - and why you've got to learn to embrace it! 

Check out @PhilipShelley1's latest blog fo…",-0.5255,0.092,0.72,0.188
66,@BBC,2018-03-13 14:00:22+00:00,"From making serious science genuinely popular to his sense of humour, here are seven reasons we ❤️ Stephen Hawking.… https://t.co/zWNEpoOttE",0.6808,0.244,0.702,0.054
67,@BBC,2018-03-13 13:00:08+00:00,🎨 This scheme to recycle unused paint has saved hundreds of tons of leftovers from ending up in landfill. https://t.co/Y6oau3hK0s,0.4215,0.135,0.865,0.0
68,@BBC,2018-03-13 12:26:59+00:00,🙅💌 Fans of #KPop boyband #BigBang have been asked to stop sending fan mail to @IBGDRGN at the army base where he's… https://t.co/Swh0KwypL7,0.0258,0.09,0.824,0.086
69,@BBC,2018-03-13 12:03:24+00:00,"RT @bbcouch: During the Winter Olympics people across Britain were swept away by curling. And Aileen Neilson, captain of @ParalympicsGB’s c…",0.0,0.0,1.0,0.0
70,@BBC,2018-03-13 12:00:09+00:00,"Shakespeare's plays are famous around the world, yet much about the playwright is still a mystery. 

Here's what we… https://t.co/McqCcs3mMj",0.25,0.1,0.9,0.0
71,@BBC,2018-03-13 11:28:09+00:00,"RT @bbcthree: ""Underwater you feel nothing. You're at peace with yourself.""  #perfectday2018 https://t.co/zHpEQSzk4H",-0.431,0.0,0.808,0.192
72,@BBC,2018-03-13 11:26:58+00:00,"RT @BBCiPlayer: Renowned shop owner and music producer, Blacker Dread, was amongst the first pioneers of sound system culture in the UK 🇯🇲…",-0.4588,0.0,0.88,0.12
73,@BBC,2018-03-13 09:00:06+00:00,"🤔 Are we really born to prefer 'boys' or 'girls' toys? 

🐒 The answer might lie with monkeys... https://t.co/oI014dsJHD",0.0,0.0,1.0,0.0
74,@BBC,2018-03-13 08:30:07+00:00,"🗣 Accents can be subject to subtle forms of prejudice, but does that mean some are more appealing and trustworthy t… https://t.co/BgEMXgEzSr",0.6304,0.2,0.718,0.081
75,@BBC,2018-03-13 08:00:03+00:00,Marianne's search for her missing daughter could be straight out of the film #ThreeBillboards. https://t.co/dph6hhzlXi,-0.0772,0.111,0.76,0.129
76,@BBC,2018-03-12 20:17:27+00:00,"RT @BBCOne: ❤️ Edina, but kind of glad she's not our mum. https://t.co/lQINpsfQuA",0.5515,0.229,0.771,0.0
77,@BBC,2018-03-12 20:16:22+00:00,"RT @BBCnireland: Christopher suffered a severe, life-changing, brain injury. It changed his life and the life of his family. True North: My…",-0.7003,0.099,0.599,0.303
78,@BBC,2018-03-12 19:23:01+00:00,🌊 These three women are leading the way in ocean exploration. https://t.co/qwkMRVMiNl,0.2263,0.16,0.84,0.0
79,@BBC,2018-03-12 18:30:06+00:00,"🗓🥗 A week’s worth of veggie dishes from @ChefTomKerridge, @NigelSlater, @Nigella_Lawson and The @HairyBikers.
👉… https://t.co/VvTZRToT6L",0.2263,0.119,0.881,0.0
80,@BBC,2018-03-12 17:30:05+00:00,"'There's nothing in the dictionary for that.'

🎶❤️ The amazing moment eight London teens hear an opera singer in th… https://t.co/J448SabIeC",0.5859,0.16,0.84,0.0
81,@BBC,2018-03-12 16:44:15+00:00,"RT @BBCTwo: Meet Marshaal and Amal, two of just six women working at this hotel in Oman.

#AmazingHotels #IWD2018 https://t.co/5zdDAFBrZ9",0.0,0.0,1.0,0.0
82,@BBC,2018-03-12 16:24:52+00:00,"RT @BBCOne: To celebrate the life of the amazing Ken Dodd, tonight we will be showing:

22:45 - Arena: Ken Dodd's Happiness
23:45 - Talking…",0.9022,0.357,0.643,0.0
83,@BBC,2018-03-12 16:17:43+00:00,RT @BBCnireland: AMAZING OPPORTUNITY: We're looking for female directors aged 18-30. Could you make a short film for BBC NI &amp; @bbcartsshow?…,0.8429,0.298,0.702,0.0
84,@BBC,2018-03-12 16:07:16+00:00,"😱 @Beyonce and Jay-Z are going on a joint tour called On The Run II, it has finally been confirmed. 
👉… https://t.co/sG72fSqfRi",0.0,0.0,1.0,0.0
85,@BBC,2018-03-12 15:55:51+00:00,"RT @BBCR1: ""Who is your least favourite Carpool Karaoke guest?""
 
@JKCorden always asks difficult questions... So @grimmers let celebs get…",-0.3612,0.0,0.884,0.116
86,@BBC,2018-03-12 14:00:09+00:00,"😕 Binoculars, wet wipes, glue, and other confusingly gendered products...
👉 https://t.co/iDxK2oSX4R https://t.co/5NxTrzbdb3",-0.34,0.0,0.806,0.194
87,@BBC,2018-03-12 13:30:45+00:00,"French fashion designer Hubert de Givenchy, who created famous looks for Audrey Hepburn and Jackie Kennedy, has die… https://t.co/UuWcTZ46c2",0.25,0.1,0.9,0.0
88,@BBC,2018-03-12 13:27:27+00:00,"RT @BBCBreakfast: Let's settle this... Which goes first on a scone, cream or jam? 

@MrDanWalker thinks it should be #jamfirst but @LouiseM…",0.0,0.0,1.0,0.0
89,@BBC,2018-03-12 12:59:05+00:00,'Our clothes can be a sixth sense.' https://t.co/DiN7gnxlon,0.0,0.0,1.0,0.0
90,@BBC,2018-03-12 12:46:06+00:00,RT @BBCR1: .@thegreatkhalid gives all the goosebumps with his Live Lounge cover of Tracy Chapman's 'Fast Car' ⭐️✨ https://t.co/03fLgeKklj,0.0,0.0,1.0,0.0
91,@BBC,2018-03-12 12:40:39+00:00,"RT @bbccomedy: In a nutshell, it's a foregone conclusion that you'll accidentally quote the big man during #ShakespeareWeek. The son of a b…",-0.34,0.0,0.888,0.112
92,@BBC,2018-03-12 12:19:24+00:00,RT @BBCWorld: Miami nightclub shut over horse stunt https://t.co/j4SjWAyDWo,0.0,0.0,1.0,0.0
93,@BBC,2018-03-12 12:00:09+00:00,"🎭 If you’ve ever been ‘in a pickle’, waited ‘with bated breath’, or gone on ‘a wild goose chase’, then you’ve been… https://t.co/iAh1LB98DU",0.0,0.0,1.0,0.0
94,@BBC,2018-03-12 10:58:16+00:00,"RT @BBCFOUR: Two common hair straightener temperatures: one's fine, but the other will destroy your hair... https://t.co/BEaLyTWdzy",-0.6542,0.066,0.709,0.225
95,@BBC,2018-03-12 10:55:19+00:00,"RT @bbcthree: ""It's great to go to the court knowing there's no ban... I'm still able to practice my faith while playing basketball.""  #per…",0.7579,0.282,0.647,0.071
96,@BBC,2018-03-12 10:52:55+00:00,"RT @BBCNewsround: Have you been using emojis wrong this whole time? 🙈Yep, apparently there's an official definition now! https://t.co/Xiwan…",-0.5255,0.0,0.841,0.159
97,@BBC,2018-03-12 09:58:30+00:00,"💔 Sir Ken Dodd, creator of the Diddy Men and one of the most popular comedians of his time, has died aged 90.
👉… https://t.co/Yw0hzqKjyK",0.2433,0.185,0.696,0.119
98,@BBC,2018-03-12 09:00:06+00:00,Is this a 'luxury prison' or the best way to prepare offenders for life outside? https://t.co/uqQZwyCC6S,-0.1531,0.191,0.545,0.264
99,@BBC,2018-03-12 08:30:04+00:00,"🍠 Poor, rural societies which ate high-quality, local foods had the best diet and health in mid-Victorian Britain.… https://t.co/P4N0lA74ch",0.2732,0.18,0.687,0.133
100,@CBS,2018-03-15 17:54:06+00:00,"RT @TheTalkCBS: You asked, we answered! The fun never ends when the ladies #KeepTalking and answer your fan questions 🗣💬➡️ https://t.co/ie1…",0.7088,0.237,0.763,0.0
101,@CBS,2018-03-15 17:20:26+00:00,RT @instinctcbs: Dr. Dylan Reinhart is lured back into the field from his life of quiet academia when a certain serial killer makes things…,-0.4939,0.077,0.766,0.157
102,@CBS,2018-03-15 16:42:41+00:00,Stream First Round games LIVE today starting at 12PM ET with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/vZow3YD8cb,0.6514,0.194,0.806,0.0
103,@CBS,2018-03-15 14:32:16+00:00,RT @CBSSports: It's the most wonderful time of the year. #MarchMadness https://t.co/e4c9qohqSR,0.6115,0.266,0.734,0.0
104,@CBS,2018-03-14 19:30:01+00:00,"Give these ladies some love! @Lauren_Alaina, @DBradbery, @carlypearce, and @RaeLynn are nominated for New Female Vo… https://t.co/IVhwURfJ3S",0.6696,0.219,0.781,0.0
105,@CBS,2018-03-13 18:48:52+00:00,"RT @ManWithAPlan: Hungry for more #ManWithAPlan bloopers and behind-the-scenes videos featuring cast like @matt_leblanc, @thelizasnyder, @k…",0.3612,0.143,0.857,0.0
106,@CBS,2018-03-13 14:15:10+00:00,"Music stars @MileyCyrus, @edsheeran, @ladygaga, and more will honor the legendary @eltonofficial and his hit songs… https://t.co/UzxARCCLnI",0.539,0.179,0.821,0.0
107,@CBS,2018-03-12 18:13:28+00:00,RT @thegoodfight: The verdict is in. The new season of #TheGoodFight is 🔥🔥🔥! Stream it now on CBS All Access: https://t.co/FkYSNSXlRb https…,0.2244,0.083,0.917,0.0
108,@CBS,2018-03-12 01:20:43+00:00,"RT @MadamSecretary: In less than an hour, #MadamSecretary's Keith Carradine will be taking over the @MadamSecretary Twitter page! Tweet alo…",0.0,0.0,1.0,0.0
109,@CBS,2018-03-09 22:48:26+00:00,RT @DierksBentley: Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post for a…,0.4926,0.117,0.883,0.0
110,@CBS,2018-03-09 22:24:20+00:00,"RT @MomCBS: If you missed guest star @KChenoweth in the latest episode of #Mom, not to worry! Watch now: https://t.co/RlvXoGOZ0l https://t.…",0.1275,0.113,0.795,0.092
111,@CBS,2018-03-09 21:10:21+00:00,"Give a round of applause to @KelseaBallerini, @MirandaLambert, @Reba, @MarenMorris, and @CarrieUnderwood, the five… https://t.co/Ncp1BTXx6N",0.4215,0.177,0.823,0.0
112,@CBS,2018-03-09 18:27:28+00:00,"RT @thegoodfight: Smart, sexy, and sophisticated. See what's coming this season on #TheGoodFight. https://t.co/CuKhx2G50P https://t.co/ygTI…",0.8658,0.447,0.553,0.0
113,@CBS,2018-03-09 16:02:27+00:00,RT @BlueBloods_CBS: Even stand-up guys fall down sometimes. #BlueBloods is new tonight at 10/9c! https://t.co/UOlDm22wWW,0.0,0.0,1.0,0.0
114,@CBS,2018-03-08 18:00:49+00:00,Today and every day we celebrate the women in our lives who empower and inspire us. Share a story about an influent… https://t.co/9rVtqrElvT,0.8625,0.336,0.664,0.0
115,@CBS,2018-03-08 17:03:04+00:00,Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post… https://t.co/7ShhvE48zy,0.4926,0.132,0.868,0.0
116,@CBS,2018-03-07 18:39:10+00:00,"RT @thegoodfight: Meticulously constructed. Soapy &amp; sexy. Intoxicating, savage television. 🔥 Here's what critics are saying about #TheGoodF…",-0.2023,0.15,0.619,0.23
117,@CBS,2018-03-07 17:06:02+00:00,"This just in! @Jason_Aldean, @mirandalambert, @LukeBryanOnline, and many more are set to perform at the 53rd Academ… https://t.co/mfxw2VxzU4",0.0,0.0,1.0,0.0
118,@CBS,2018-03-06 18:10:59+00:00,"Meet the ensemble of talented actors slated to join $1, a new mystery series coming to CBS All Access:… https://t.co/QoyYv7vxwg",0.6705,0.244,0.756,0.0
119,@CBS,2018-03-05 22:16:43+00:00,"Will @Jason_Aldean, @garthbrooks, @LukeBryanOnline, @ChrisStapleton, or @KeithUrban be named Entertainer Of The Yea… https://t.co/rMD8zjeX3s",0.3818,0.167,0.833,0.0
120,@CBS,2018-03-15 17:54:06+00:00,"RT @TheTalkCBS: You asked, we answered! The fun never ends when the ladies #KeepTalking and answer your fan questions 🗣💬➡️ https://t.co/ie1…",0.7088,0.237,0.763,0.0
121,@CBS,2018-03-15 17:20:26+00:00,RT @instinctcbs: Dr. Dylan Reinhart is lured back into the field from his life of quiet academia when a certain serial killer makes things…,-0.4939,0.077,0.766,0.157
122,@CBS,2018-03-15 16:42:41+00:00,Stream First Round games LIVE today starting at 12PM ET with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/vZow3YD8cb,0.6514,0.194,0.806,0.0
123,@CBS,2018-03-15 14:32:16+00:00,RT @CBSSports: It's the most wonderful time of the year. #MarchMadness https://t.co/e4c9qohqSR,0.6115,0.266,0.734,0.0
124,@CBS,2018-03-14 19:30:01+00:00,"Give these ladies some love! @Lauren_Alaina, @DBradbery, @carlypearce, and @RaeLynn are nominated for New Female Vo… https://t.co/IVhwURfJ3S",0.6696,0.219,0.781,0.0
125,@CBS,2018-03-13 18:48:52+00:00,"RT @ManWithAPlan: Hungry for more #ManWithAPlan bloopers and behind-the-scenes videos featuring cast like @matt_leblanc, @thelizasnyder, @k…",0.3612,0.143,0.857,0.0
126,@CBS,2018-03-13 14:15:10+00:00,"Music stars @MileyCyrus, @edsheeran, @ladygaga, and more will honor the legendary @eltonofficial and his hit songs… https://t.co/UzxARCCLnI",0.539,0.179,0.821,0.0
127,@CBS,2018-03-12 18:13:28+00:00,RT @thegoodfight: The verdict is in. The new season of #TheGoodFight is 🔥🔥🔥! Stream it now on CBS All Access: https://t.co/FkYSNSXlRb https…,0.2244,0.083,0.917,0.0
128,@CBS,2018-03-12 01:20:43+00:00,"RT @MadamSecretary: In less than an hour, #MadamSecretary's Keith Carradine will be taking over the @MadamSecretary Twitter page! Tweet alo…",0.0,0.0,1.0,0.0
129,@CBS,2018-03-09 22:48:26+00:00,RT @DierksBentley: Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post for a…,0.4926,0.117,0.883,0.0
130,@CBS,2018-03-09 22:24:20+00:00,"RT @MomCBS: If you missed guest star @KChenoweth in the latest episode of #Mom, not to worry! Watch now: https://t.co/RlvXoGOZ0l https://t.…",0.1275,0.113,0.795,0.092
131,@CBS,2018-03-09 21:10:21+00:00,"Give a round of applause to @KelseaBallerini, @MirandaLambert, @Reba, @MarenMorris, and @CarrieUnderwood, the five… https://t.co/Ncp1BTXx6N",0.4215,0.177,0.823,0.0
132,@CBS,2018-03-09 18:27:28+00:00,"RT @thegoodfight: Smart, sexy, and sophisticated. See what's coming this season on #TheGoodFight. https://t.co/CuKhx2G50P https://t.co/ygTI…",0.8658,0.447,0.553,0.0
133,@CBS,2018-03-09 16:02:27+00:00,RT @BlueBloods_CBS: Even stand-up guys fall down sometimes. #BlueBloods is new tonight at 10/9c! https://t.co/UOlDm22wWW,0.0,0.0,1.0,0.0
134,@CBS,2018-03-08 18:00:49+00:00,Today and every day we celebrate the women in our lives who empower and inspire us. Share a story about an influent… https://t.co/9rVtqrElvT,0.8625,0.336,0.664,0.0
135,@CBS,2018-03-08 17:03:04+00:00,Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post… https://t.co/7ShhvE48zy,0.4926,0.132,0.868,0.0
136,@CBS,2018-03-07 18:39:10+00:00,"RT @thegoodfight: Meticulously constructed. Soapy &amp; sexy. Intoxicating, savage television. 🔥 Here's what critics are saying about #TheGoodF…",-0.2023,0.15,0.619,0.23
137,@CBS,2018-03-07 17:06:02+00:00,"This just in! @Jason_Aldean, @mirandalambert, @LukeBryanOnline, and many more are set to perform at the 53rd Academ… https://t.co/mfxw2VxzU4",0.0,0.0,1.0,0.0
